Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,Notes from original source,License URL
SH.HIV.INCD.TL,CC BY-4.0,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV.,UNAIDS estimates.,Health: Risk factors,,,Annual,,,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.INCD,CC BY-4.0,Adults (ages 15+) newly infected with HIV,,Number of adults (ages 15+) newly infected with HIV.,UNAIDS estimates.,Health: Risk factors,,,Annual,,,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IS.AIR.GOOD.MT.K1,CC BY-4.0,"Air transport, freight (million ton-km)",,"Air freight is the volume of freight, express, and diplomatic bags carried on each flight stage (operation of an aircraft from takeoff to its next landing), measured in metric tons times kilometers traveled.","International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,Annual,,Sum,"For statistical uses, departures are equal to the number of landings made or flight stages flown. A flight stage is the operation of an aircraft from take-off to its next landing. A flight stage is classified as either international or domestic. International flight stage is one or both terminals in the territory of a State, other than the State in which the air carrier has its principal place of business.

Domestic flight stage is not classifiable as international. Domestic flight stages include all flight stages flown between points within the domestic boundaries of a State by an air carrier whose principal place of business is in that State. Flight stages between a State and territories belonging to it, as well as any flight stages between two such territories, should be classified as domestic. This applies even though a stage may cross international waters or over the territory of another State.

Freight tonne-kilometres performed measures a metric tonne of freight carried one kilometre. Freight tonne-kilometres equal the sum of the products obtained by multiplying the number of tonnes of freight, express, diplomatic bags carried on each flight stage by the stage distance. For ICAO statistical purposes freight includes express and diplomatic bags but not passenger baggage.","Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The air transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses, and stimulating foreign investment and international trade. Economic growth, technological change, market liberalization, the growth of low cost carriers, airport congestion, oil prices and other trends affect commercial aviation throughout the world.","The air transport data represent the total (international and domestic) scheduled traffic carried by the air carriers registered in a country. Countries submit air transport data to International Civil Aviation Organization (ICAO) on the basis of standard instructions and definitions issued by ICAO. In many cases, however, the data include estimates by ICAO for nonreporting carriers. Where possible, these estimates are based on previous submissions supplemented by information published by the air carriers, such as flight schedules.

The data cover the air traffic carried on scheduled services, but changes in air transport regulations in Europe have made it more difficult to classify traffic as scheduled or nonscheduled. Thus recent increases shown for some European countries may be due to changes in the classification of air traffic rather than actual growth. In the case of multinational air carriers owned by partner States, traffic within each partner State is shown separately as domestic and all other traffic as international.

"Foreign" cabotage traffic (i.e. traffic carried between city-pairs in a State other than the one where the reporting carrier has its principal place of business) is shown as international traffic.

A technical stop does not result in any flight stage being classified differently than would have been the case had the technical stop not been made. For countries with few air carriers or only one, the addition or discontinuation of a home-based air carrier may cause significant changes in air traffic.

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been "internationalized."",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IS.AIR.PSGR,CC BY-4.0,"Air transport, passengers carried",,Air passengers carried include both domestic and international aircraft passengers of air carriers registered in the country.,"International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,Annual,,Sum,"For statistical uses, departures are equal to the number of landings made or flight stages flown. A flight stage is the operation of an aircraft from take-off to its next landing. A flight stage is classified as either international or domestic. International flight stage is one or both terminals in the territory of a State, other than the State in which the air carrier has its principal place of business.

Domestic flight stage is not classifiable as international. Domestic flight stages include all flight stages flown between points within the domestic boundaries of a State by an air carrier whose principal place of business is in that State. Flight stages between a State and territories belonging to it, as well as any flight stages between two such territories, should be classified as domestic. This applies even though a stage may cross international waters or over the territory of another State.

The number of passengers carried is obtained by counting each passenger on a particular flight (with one flight number) once only and not repeatedly on each individual stage of that flight, with a single exception that a passenger flying on both the international and domestic stages of the same flight should be counted as both a domestic and an international passenger.","Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The air transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses, and stimulating foreign investment and international trade. Economic growth, technological change, market liberalization, the growth of low cost carriers, airport congestion, oil prices and other trends affect commercial aviation throughout the world.","The air transport data represent the total (international and domestic) scheduled traffic carried by the air carriers registered in a country. Countries submit air transport data to International Civil Aviation Organization (ICAO) on the basis of standard instructions and definitions issued by ICAO. In many cases, however, the data include estimates by ICAO for nonreporting carriers. Where possible, these estimates are based on previous submissions supplemented by information published by the air carriers, such as flight schedules.

The data cover the air traffic carried on scheduled services, but changes in air transport regulations in Europe have made it more difficult to classify traffic as scheduled or nonscheduled. Thus recent increases shown for some European countries may be due to changes in the classification of air traffic rather than actual growth. In the case of multinational air carriers owned by partner States, traffic within each partner State is shown separately as domestic and all other traffic as international.
 
"Foreign" cabotage traffic (i.e. traffic carried between city-pairs in a State other than the one where the reporting carrier has its principal place of business) is shown as international traffic.

A technical stop does not result in any flight stage being classified differently than would have been the case had the technical stop not been made. For countries with few air carriers or only one, the addition or discontinuation of a home-based air carrier may cause significant changes in air traffic.

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been "internationalized."",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IS.AIR.DPRT,CC BY-4.0,"Air transport, registered carrier departures worldwide",,Registered carrier departures worldwide are domestic takeoffs and takeoffs abroad of air carriers registered in the country.,"International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,Annual,,Sum,"The air transport data represent the total (international and domestic) scheduled traffic carried by the air carriers registered in a country. For statistical uses, departures are equal to the number of landings made or flight stages flown. A flight stage is the operation of an aircraft from take-off to its next landing. A flight stage is classified as either international or domestic. International flight stage is one or both terminals in the territory of a State, other than the State in which the air carrier has its principal place of business.

Domestic flight stage is not classifiable as international. Domestic flight stages include all flight stages flown between points within the domestic boundaries of a State by an air carrier whose principal place of business is in that State. Flight stages between a State and territories belonging to it, as well as any flight stages between two such territories, should be classified as domestic. This applies even though a stage may cross international waters or over the territory of another State.","Transport infrastructure - highways, railways, ports and waterways, and airports and air traffic control systems - and the services that flow from it are crucial to the activities of households, producers, and governments. Because performance indicators vary widely by transport mode and focus (whether physical infrastructure or the services flowing from that infrastructure), highly specialized and carefully specified indicators are required to measure a country's transport infrastructure.

The air transport industry a vital engine of global socio-economic growth. It is of vital importance for economic development, creating direct and indirect employment, supporting tourism and local businesses, and stimulating foreign investment and international trade. Economic growth, technological change, market liberalization, the growth of low cost carriers, airport congestion, oil prices and other trends affect commercial aviation throughout the world.","Countries submit air transport data to Civil Aviation Organization (ICAO) on the basis of standard instructions and definitions issued by ICAO. In many cases, however, the data include estimates by ICAO for nonreporting carriers. Where possible, these estimates are based on previous submissions supplemented by information published by the air carriers, such as flight schedules.

The data cover the air traffic carried on scheduled services, but changes in air transport regulations in Europe have made it more difficult to classify traffic as scheduled or nonscheduled. Thus recent increases shown for some European countries may be due to changes in the classification of air traffic rather than actual growth. In the case of multinational air carriers owned by partner States, traffic within each partner State is shown separately as domestic and all other traffic as international.

"Foreign" cabotage traffic (i.e. traffic carried between city-pairs in a State other than the one where the reporting carrier has its principal place of business) is shown as international traffic.

A technical stop does not result in any flight stage being classified differently than would have been the case had the technical stop not been made. For countries with few air carriers or only one, the addition or discontinuation of a home-based air carrier may cause significant changes in air traffic.

Data for transport sectors are not always internationally comparable. Unlike for demographic statistics, national income accounts, and international trade data, the collection of infrastructure data has not been "internationalized."",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.ARTC.ZS,CC BY-4.0,Antiretroviral therapy coverage (% of people living with HIV),,Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy.,UNAIDS estimates.,Health: Risk factors,,,Annual,,Weighted average,Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS.

Antiretroviral therapy has led to huge reductions in death and suffering of people with advanced HIV infection.,,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.PMTC.ZS,CC BY-4.0,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),,Percentage of pregnant women with HIV who receive antiretroviral medicine for prevention of mother-to-child transmission (PMTCT).,UNAIDS estimates.,Health: Risk factors,,,Annual,,Weighted average,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
per_si_allsi.ben_q1_tot,CC BY-4.0,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),,"Benefit incidence of social insurance programs to poorest quintile shows the percentage of total social insurance benefits received by the poorest 20% of the population. Social insurance programs include old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Social Protection & Labor: Performance,,,Annual,,Simple average,,,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
per_allsp.ben_q1_tot,CC BY-4.0,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,"Benefit incidence of social protection and labor programs (SPL) to poorest quintile shows the percentage of total social protection and labor programs benefits received by the poorest 20% of the population. Social protection and labor programs include social insurance, social safety nets, and unemployment benefits and active labor market programs. Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Social Protection & Labor: Performance,,,Annual,,Simple average,,,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
