Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Germany,DEU,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,..,..,..,..,..,..,..,..,..,..,..,..,5.24590163934426,4.99185313727097,5.093564665,5.1331298013,4.7,4.9,4.9,4.7,4.70156070455428,4.7,5.3,..,..
Germany,DEU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..,3.9,..,..,..,..,..,..,..,..,..,4.6,..,..,..,..,4.9,4.8,..,..,..
Germany,DEU,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,..,..,..,..,..,4.1,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,4,4,..,..,..
Germany,DEU,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,..,..,..,..,..,92,..,..,..,..,..,..,..,..,..,91.6,..,..,..,..,91.1,91.2,..,..,..
Germany,DEU,Children (0-14) living with HIV,SH.HIV.0014,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,..
Germany,DEU,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Germany,DEU,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,..,..,13.13157,13.53527,0.63864,4.48693,3.61075,2.70148,2.04134,1.96939,1.62444,2.53014,2.93107,2.35302,2.45141,3.29518,3.58947,3.23601,1.85685,0.51429,0.5293,..,..
Germany,DEU,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,12.46765,12.88623,..,4.44493,3.52318,2.89624,2.16788,2.02152,1.63843,2.63405,2.98271,2.44592,2.53881,3.19924,3.47067,3.03013,1.54366,0.18031,..,..,..
Germany,DEU,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,..,..,..,13.76427,14.15359,..,4.52692,3.69415,2.51597,1.92079,1.91971,1.61112,2.43115,2.88188,2.26456,2.3682,3.38631,3.7021,3.43086,2.15286,0.82963,..,..,..
Germany,DEU,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,469982,469848,21535,147592,116838,86792,65456,62917,51333,78712,89319,70080,71525,95234,102890,92141,52589,14502,15035,..,..
Germany,DEU,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,..,..,217737,218237,..,71322,55613,45392,33913,31512,25261,39978,44339,35532,36126,45040,48415,41954,21244,2469,..,..,..
Germany,DEU,"Children out of school, primary, male",SE.PRM.UNER.MA,..,..,..,..,252245,251611,..,76270,61225,41400,31543,31405,26072,38734,44980,34548,35399,50194,54475,50187,31346,12033,..,..,..
Germany,DEU,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.0220915013328901,0.0198983874493044,0.0175431284415792,0.0160634124423585,0.00893088603634222,0.0153408808880535,0.0395442559938242,0.021156606228402,0.0164935573413514,0.0733272645689382,0.0628451488402419,0.0574174942715632,0.0571108920993318,0.174564061132123,0.0588137834128589,0.088553425832791,0.109654585754825,0.0485758447485013,0.0175638250447933,0.0151431719016058,0.014738861579514,0.0143529204188808,0.0183067550570173,..,..
Germany,DEU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..,..,..,..,..,7695688,8426520,9252670,10943452,12479419,13598987,15009691,16644222,17183042.1168,13296300.2124179,14715340,18744981,18931700,19261033.3333333,20128033.3333333,19139033.3333333,19364033.3333333,19718233,19597633,..
Germany,DEU,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.9,..,..,..,..,..,..,..,..,10.4
Germany,DEU,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,265000,2100000,3205000,4470000,7000000,10786800,14977200,19751400,22710136,24964600,26161950,27257096,27956700,28641961,29572818,30707429,31861900,33243300,34174900,..
Germany,DEU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,0.3255492981022,2.57814590427455,3.93082137045186,5.47697599369131,8.57354844252062,13.2186736227402,18.3831972382834,24.3010916999137,28.0144641105655,30.8586057291177,32.3678342047129,33.7108193032243,34.5261117127136,35.2844894990065,36.30777256798,37.5454224856195,38.7643744474642,40.2176867449747,41.1129495066059,..
Germany,DEU,Fixed telephone subscriptions,IT.MLT.MAIN,42000000,44100000,45200000,46530000,48210000,50220000,52330000,53670000,54233000,54526000,54791000,54400000,53100000,50300000,53700000,52900000,51400000,50100000,48700000,47021000,45350000,45300000,44400000,42500000,..
Germany,DEU,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,51.76324149,54.22775836,55.52876647,57.16028514,59.23337417,61.6946632101603,64.24494055747,65.8243940568336,66.4502995673066,66.783043196697,67.1435779344716,66.7712209066191,65.3314686181951,62.0483974539581,66.3782767460172,65.4484252675857,63.5700924333879,61.8727602616529,59.994308301782,57.7296277249935,55.4486313303156,55.1136674984897,53.7150430756537,51.1281775229993,..
Germany,DEU,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.0260298778662643,0.0270214749642998,0.0249585724812619,0.0260228124397539,0.0233286743647951,0.0364304172297326,0.0271972065534596,0.0295736809524676,0.0312488819446026,0.0248471105401849,0.0258330919528013,0.0300929640463465,0.0396074212851447,0.0310772848160123,0.027429168613781,0.0317792087442391,0.0312493156786457,0.0285027615352109,0.0278629692225149,0.0296255433077393,0.0289942065070949,0.0262522183799716,0.0265228195140978,..,..
Germany,DEU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,39301.9714672169,39510.0850283135,40156.0050460038,40960.5704621276,41708.5607983245,42858.0189831488,43512.3729899114,43353.0686488749,43019.9061551859,43541.2580911849,43880.4697983758,45605.7420257348,47029.4977547019,47572.4164323177,44975.9611008627,46927.329489172,49681.286395794,49796.1557414519,49873.1147030086,50771.0402536316,51209.0864620046,51930.1627216947,53011.7681603117,53659.9892931257,..
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23521.4447349485,24035.4403666482,24564.4067135348,25344.59352436,26291.2110793898,27209.2272386931,28380.6588970178,29178.6374658122,29875.4942551057,31305.4309058718,31794.0960095207,34119.1237727327,36249.7736073778,37802.3874303197,36851.2820856299,38978.7436979335,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47683.7885959958,50564.251307837,53011.7681603117,54456.9292560641,..
Germany,DEU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3210108429899.89,3236461937889.93,3294188678223.76,3360699912017.42,3424282976722.72,3523422370497.29,3583240652291.23,3576129386477.37,3550612506115.6,3592861773379.32,3618796981360.51,3756839173301.58,3868946157261.47,3906175727782,3683634973702.92,3837572938722.96,3988164420840.49,4004896807742.44,4022047508458.52,4111565767339.72,4183096725487.14,4276379781084.97,4381793826850.42,4448723374458.21,..
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1921185762654.8,1968859035644.57,2015135479495.69,2079452807088.9,2158514818382.19,2236911602807.63,2337145131620,2406901890705.46,2465749300937.88,2583207076040.95,2622040720917.68,2810612327627.45,2982137360500.33,3103957698735.13,3018205018720.86,3187561994873.85,3415020684916.05,3487232707438.34,3628559701800.76,3807112936430.42,3895127090047.34,4163898794181.89,4381793826850.42,4514794305292.67,..
Germany,DEU,GINI index (World Bank estimate),SI.POV.GINI,28.9,..,..,28.3,..,28.8,30.3,29.9,30,30.4,32.1,31.3,31.3,31.1,30.5,30.2,30.5,..,31.1,..,31.7,31.9,..,..,..
Germany,DEU,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,39245.6256589593,39513.5508927924,40076.9498082543,40722.4650187639,41415.4628067059,42615.5981494807,43205.6633754599,42890.5641001338,42578.1327724931,43803.0784792313,44239.9537790325,46369.4560992728,47706.2769796209,48016.0605491073,45988.6371024876,47860.4392041127,50930.9780007794,50968.7414034625,51009.9954550099,51776.1445979467,52371.4455171911,53213.0292581209,54368.2854934805,55154.6495573688,..
Germany,DEU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23490,24040,24520,25200,26110,27060,28180,28870,29570,31490,32060,34700,36780,38160,37680,39760,43630,44400,46040,47950,48770,51810,54370,55980,..
Germany,DEU,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,3205506214099.38,3236745843592.99,3287703399898.63,3341164028275.2,3400219560388.02,3503492588190.82,3557983138544.37,3537978082321.07,3514151103996.31,3614466212592.66,3648443417463.53,3819751228258.4,3924622328740.53,3942603389245.07,3766575474479.53,3913879786563.98,4088483393185.94,4099202974647.64,4113731944516.52,4192961629903.22,4278045897470.48,4382022132864.31,4493919482771.19,4572639352489.62,..
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1918555376523.45,1969141855853.92,2011287389155.48,2067555738155.06,2143583766804.77,2224328583943.71,2320728939186.94,2381368004844.2,2440703477248.71,2598811221466.52,2643689105682.11,2858148381212.31,3025439825143.71,3133424995825.21,3086256642388.37,3251502171529.72,3502470398953.27,3570904139239.83,3712581829258.22,3883389666513.64,3983765536763.11,4266415919562.53,4493919482771.19,4641067663123.45,..
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,15.4971777148624,15.1345968382954,16.8817576481787,17.0072610557081,16.4490233716204,17.3581600192975,17.3951674333599,17.2907294202118,17.8930419363633,18.2185898151732,15.8563034516805,15.7779623925176,..
Germany,DEU,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..,169887312000,183535525092,159207939862,180522971795,203237045896,204071158697,210129818072,216297040017,199797306303,206133813845,195752362801,210082307180,207031297540
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1721357609072.48,1748834879322.54,1761850418887.43,1787261729453.06,1833745815905.82,1864115429714.1,1886427794306.01,1860190099866.61,1868040746667.47,1880023312837.2,1894278441106.87,1919896341193.88,1915144627472.62,1921755698462.82,1919896341193.88,1933531675111.16,1969479373620.36,1998816001139.36,2006046853587.83,2027119642369.08,2065959684436.49,2112856975720.25,2141160616949.97,2168431284784.54,..
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1082951789901.87,1120029606778.5,1142657467374.24,1164237787495.83,1222552615233.81,1259740053067.28,1310446791782.04,1315861483856.07,1344572841271.52,1397234673281.16,1424914754705.01,1478866605573.44,1514398854554.96,1575508425068.92,1598796375227.01,1657157096119.79,1763719064382.68,1814060064866.69,1854902942503.21,1908129351218.52,1923670299298.97,2044297319534.49,2141160616949.97,2204729138533.59,..
Germany,DEU,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..,..,..,..,..,8.4004295355,8.1594380116,7.9001644668,7.3882713306,7.9394821537,7.8973692614,7.3807036721,5.8937930976,5.0911077869,4.8538166985,5.0863390296,4.602531027,4.5068225189,4.3331286091,4.5200622249,4.6516195563,4.6571378613,4.9550602667,..,..
Germany,DEU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,..,..,..,..,..,11.6372882963,12.4887580208,12.1584541118,11.0128866073,11.274371506,11.5038617074,10.9265401874,8.8600346234,7.8655447562,8.3679608324,9.1607271225,7.9494773208,7.8425545504,7.3591600758,7.7422922681,8.4396650434,8.4256169304,8.777071489,..,..
Germany,DEU,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.15798388732953,4.39192925696831,5.05550235874619,5.53619957095724,5.57972609750055,6.24017580901119,7.39214411522952,7.09231228979388,7.27830900067528,7.03244609880329,6.8043835542645,7.26263379300772,7.62785613345241,7.88452077284261,8.1766831337574,9.04064430684383,9.22344954159203,9.89962299494821,9.85589701552227,9.57515587615534,10.4790425181385,11.5958820941159,11.70262854632,..,..
Germany,DEU,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,3092093857.19278,3295652352.10997,3886387231.50002,4523395641.36383,4476755730.17576,5075941594.17683,6126259575.39816,7033910840.33024,8748049308.27319,10683670445.9119,11069605745.2674,13410085798.0385,16357196841.213,19265173820.0995,18536370801.4938,20877688176.6445,23594695994.3926,25334533730.7902,27281681762.8636,29042341176.9716,29433492589.8311,33994516274.5971,37400463309.6776,..,..
Germany,DEU,"Incidence of HIV (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.08,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,..
Germany,DEU,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,..,..,..,..,..,13,9.8,9.8,9.9,8.7,8,7.3,6.6,5.9,5.9,5.8,5.8,5.7,5.9,6.1,8,8,7.4,7.3,..
Germany,DEU,Income share held by fourth 20%,SI.DST.04TH.20,22.7,..,..,23,..,22.7,22.4,22.6,22.3,22.4,22.1,22.3,22.1,22.3,22.6,22.6,22.4,..,22.5,..,22.6,22.8,..,..,..
Germany,DEU,Income share held by highest 10%,SI.DST.10TH.10,22.9,..,..,22.3,..,23,24.2,23.7,24,24.2,25.5,24.9,25.2,24.8,24.1,24,24.3,..,24.6,..,24.8,24.6,..,..,..
Germany,DEU,Income share held by highest 20%,SI.DST.05TH.20,37.6,..,..,37.2,..,37.7,39.1,38.6,38.8,39.1,40.5,39.8,39.9,39.6,39,38.8,39.1,..,39.5,..,39.7,39.6,..,..,..
Germany,DEU,Income share held by lowest 10%,SI.DST.FRST.10,3.4,..,..,3.6,..,3.5,3.5,3.4,3.4,3.4,3.2,3.4,3.4,3.3,3.3,3.4,3.5,..,3.3,..,3.1,2.9,..,..,..
Germany,DEU,Income share held by lowest 20%,SI.DST.FRST.20,8.6,..,..,8.9,..,8.8,8.6,8.6,8.6,8.5,8.1,8.3,8.3,8.4,8.3,8.4,8.5,..,8.2,..,7.8,7.6,..,..,..
Germany,DEU,Income share held by second 20%,SI.DST.02ND.20,13.5,..,..,13.5,..,13.4,13,13.1,13.3,13.1,12.6,12.8,12.9,12.9,13.1,13.1,13,..,12.9,..,12.9,12.8,..,..,..
Germany,DEU,Income share held by third 20%,SI.DST.03RD.20,17.5,..,..,17.4,..,17.4,16.9,17.1,17.1,16.9,16.7,16.7,16.8,16.8,17,17.1,17,..,17,..,17,17.1,..,..,..
Germany,DEU,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0116237788461149,..,..,..,..,..,..,..,..,..
Germany,DEU,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP1.CG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0220851805061102,..,..,..,..,..,..,..,..,..
Germany,DEU,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.011798094601545,..,..,..,..,..,..,..,..,..
Germany,DEU,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0377539023756981,..,..,..,..,..,..,..,..,..
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.19,87.5897993525767,84.1652066441212,84.39550077,89.7391210364906,..
Germany,DEU,"Industrial design applications, nonresident, by count",IP.IDS.NRCT,17740,16549,18376,19790,21651,25452,22238,23958,14926,12547,13495,13974,18031,12684,10093,10228,12071,12110,10440,13965,11173,9917,6694,5645,..
Germany,DEU,"Industrial design applications, resident, by count",IP.IDS.RSCT,66624,72274,74524,74846,68541,62169,57545,53173,45984,40530,39203,40314,39790,37453,36117,40396,41848,43323,46757,47189,45458,46216,39121,38815,..
Germany,DEU,International migrant stock (% of population),SM.POP.TOTL.ZS,9.14611048008342,..,..,..,..,10.9805597775469,..,..,..,..,12.676388329431,..,..,..,..,14.4286016089924,..,..,..,..,14.8790512953233,..,..,..,..
Germany,DEU,"International migrant stock, total",SM.POP.TOTL,7464406,..,..,..,..,8992631,..,..,..,..,10299160,..,..,..,..,11605690,..,..,..,..,12005690,..,..,..,..
